,RandomForest_modelingdataset_A1
Accuracy,0.6551724137931034
Balanced accuracy,0.662962962962963
Precision,0.676619644723093
Recall,0.6551724137931034
F1score,0.6503428110506151
MCC,0.5928208539327031
