,RandomForest_modelingdataset_F
Accuracy,0.5689655172413793
Balanced accuracy,0.5740740740740741
Precision,0.5757575757575757
Recall,0.5689655172413793
F1score,0.5637480279468108
MCC,0.4863533302465224
