,RandomForest_modelingdataset_S,RandomForest_fmridataset_S
Accuracy,0.5517241379310345,0.6896551724137931
Balanced accuracy,0.5537037037037037,0.7000000000000001
Precision,0.566709870589181,0.6810344827586207
Recall,0.5517241379310345,0.6896551724137931
F1score,0.5553290728953671,0.6746997649634566
MCC,0.4629454754656099,0.6325563249350237
