,precision,recall,f1-score,support
speech,1.0,1.0,1.0,9.0
voice,0.75,1.0,0.8571428571428571,9.0
animal,0.42857142857142855,0.3,0.3529411764705882,10.0
music,0.875,0.7,0.7777777777777777,10.0
nature,0.5714285714285714,0.8,0.6666666666666666,10.0
tool,0.5,0.4,0.4444444444444445,10.0
accuracy,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.6896551724137931
macro avg,0.6875,0.7000000000000001,0.683162153750389,58.0
weighted avg,0.6810344827586207,0.6896551724137931,0.6746997649634566,58.0
