,RandomForest_modelingdataset,RandomForest_fmridataset
Accuracy,0.6206896551724138,0.7413793103448276
Balanced accuracy,0.6240740740740741,0.748148148148148
Precision,0.6491379310344827,0.7493000294724432
Recall,0.6206896551724138,0.7413793103448276
F1score,0.626006785049168,0.7338353158670554
MCC,0.5477113531309346,0.6941966598845358
