Dataset,Model,Accuracy_cv,Precision_cv,Recall_cv,F1score_cv,Balanced_acc_cv
fmri_df,SupportVectorMachine,0.6827295511506039,0.705950316427378,0.6827295511506039,0.6866897781893971,0.6816239316239318
fmri_df,RandomForest,0.6697994987468672,0.6736572619478413,0.6697994987468672,0.6520114171239565,0.6695156695156695
fmri_df,XGBoost,0.6393825472772842,0.6287511214934218,0.6393825472772842,0.6253189558342868,0.6392450142450143
fmri_df,MultiLayerPerceptron,0.578548644338118,0.6581086149658651,0.578548644338118,0.554377820689151,0.577991452991453
model_df,RandomForest,0.5526315789473685,0.5645195138018104,0.5526315789473685,0.5443696248474995,0.551994301994302
model_df,SupportVectorMachine,0.5219298245614036,0.5252397450208154,0.5219298245614036,0.5134277455269164,0.5224358974358975
model_df,XGBoost,0.5134426976532239,0.5272406448201049,0.5134426976532239,0.505717007521267,0.5135327635327634
model_df,MultiLayerPerceptron,0.4913989519252677,0.5140078444504281,0.4913989519252677,0.4825820704483166,0.48967236467236464
