,RandomForest_modelingdataset_FT2
Accuracy,0.6896551724137931
Balanced accuracy,0.6981481481481482
Precision,0.7001731984490605
Recall,0.6896551724137931
F1score,0.6864723469018843
MCC,0.6309615468620379
