,precision,recall,f1-score,support
speech,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
voice,0.6,0.6666666666666666,0.631578947368421,9.0
animal,0.5,0.7,0.5833333333333334,10.0
music,0.4,0.4,0.4000000000000001,10.0
nature,0.625,0.5,0.5555555555555556,10.0
tool,1.0,0.7,0.8235294117647058,10.0
accuracy,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138
macro avg,0.6504629629629629,0.6240740740740741,0.6286291709666322,58.0
weighted avg,0.6491379310344827,0.6206896551724138,0.626006785049168,58.0
