,RandomForest_modelingdataset_F,RandomForest_fmridataset_F
Accuracy,0.5862068965517241,0.4482758620689655
Balanced accuracy,0.5907407407407407,0.45
Precision,0.595051500223914,0.4833527977544205
Recall,0.5862068965517241,0.4482758620689655
F1score,0.5826459319359928,0.4278598795840175
MCC,0.5064692280750155,0.35062583105970235
