,precision,recall,f1-score,support
speech,0.75,0.6666666666666666,0.7058823529411765,9.0
voice,0.6363636363636364,0.7777777777777778,0.7000000000000001,9.0
animal,0.5,0.7,0.5833333333333334,10.0
music,0.4,0.4,0.4000000000000001,10.0
nature,0.42857142857142855,0.3,0.3529411764705882,10.0
tool,0.875,0.7,0.7777777777777777,10.0
accuracy,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241
macro avg,0.5983225108225108,0.5907407407407407,0.5866557734204793,58.0
weighted avg,0.595051500223914,0.5862068965517241,0.5826459319359928,58.0
