,RandomForest_modelingdataset_R
Accuracy,0.6724137931034483
Balanced accuracy,0.6777777777777777
Precision,0.6653365791296826
Recall,0.6724137931034483
F1score,0.6629863860639338
MCC,0.6096027639648831
