,RandomForest_modelingdataset_R,RandomForest_fmridataset_R
Accuracy,0.5862068965517241,0.5862068965517241
Balanced accuracy,0.5888888888888889,0.5851851851851851
Precision,0.6716300940438871,0.5809313292071913
Recall,0.5862068965517241,0.5862068965517241
F1score,0.5860133443297745,0.5651731208899993
MCC,0.5121755267523013,0.5099914135622539
