,precision,recall,f1-score,support
speech,0.6,0.6666666666666666,0.631578947368421,9.0
voice,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0
animal,0.5833333333333334,0.7,0.6363636363636365,10.0
music,0.5,0.2,0.28571428571428575,10.0
nature,0.5555555555555556,0.5,0.5263157894736842,10.0
tool,0.7,0.7,0.7,10.0
accuracy,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.5862068965517241
macro avg,0.5795584045584046,0.5907407407407407,0.5693893825472772,58.0
weighted avg,0.57991452991453,0.5862068965517241,0.5671624201569756,58.0
