,RandomForest_modelingdatasetA1,RandomForest_fmridatasetA1
Accuracy,0.5862068965517241,0.3620689655172414
Balanced accuracy,0.5907407407407407,0.362962962962963
Precision,0.57991452991453,0.3544368635646526
Recall,0.5862068965517241,0.3620689655172414
F1score,0.5671624201569756,0.33974695063624283
MCC,0.5093782610147077,0.2392095522493579
